Instancia;Metaheuristica;Estrategia;Out;Melhor;Media;TempoMelhor;TempoTotal;;;
../Instances/TSP/kroC100.tsp;LNS;1;20749;20749;20749;0.111;10.002;;;
../Instances/TSP/kroD100.tsp;LNS;1;21294;21294;21294;0.027;10.001;;;
../Instances/TSP/kroE100.tsp;LNS;1;22068;22068;22068;0.479;10.001;;;
../Instances/TSP/rd100.tsp;LNS;1;7910;7910;7910;0.669;10.002;;;
../Instances/TSP/eil101.tsp;LNS;1;630;630;630;2.955;10.002;;;
../Instances/TSP/lin105.tsp;LNS;1;14379;14379;14379;0.164;10;;;
../Instances/TSP/pr107.tsp;LNS;1;44303;44303;44303;0.035;10.001;;;
../Instances/TSP/pr124.tsp;LNS;1;59030;59030;59030;0.008;10.003;;;
../Instances/TSP/ch130.tsp;LNS;1;6110;6110;6110;1.856;10.003;;;
../Instances/TSP/pr136.tsp;LNS;1;96772;96772;96772;2.049;10.012;;;
../Instances/TSP/pr144.tsp;LNS;1;58537;58537;58537;0.474;10.002;;;
../Instances/TSP/ch150.tsp;LNS;1;6549;6549;6549;3.391;10.005;;;
../Instances/TSP/kroA150.tsp;LNS;1;26566;26566;26566;8.531;10.003;;;
../Instances/TSP/kroB150.tsp;LNS;1;26130;26130;26130;0.211;10.004;;;
../Instances/TSP/pr152.tsp;LNS;1;73682;73682;73682;0.461;10.002;;;
../Instances/TSP/u159.tsp;LNS;1;42080;42080;42080;1.366;10.008;;;
../Instances/TSP/rat195.tsp;LNS;1;2350;2350;2350;9.592;10.032;;;
../Instances/TSP/d198.tsp;LNS;1;15784;15784;15784;1.723;10.016;;;
../Instances/TSP/kroA200.tsp;LNS;1;29564;29564;29564;4.595;10.02;;;
../Instances/TSP/kroB200.tsp;LNS;1;29481;29481;29481;7.597;11.134;;;
../Instances/TSP/ts225.tsp;LNS;1;126962;126962;126962;4.458;11.871;;;
../Instances/TSP/tsp225.tsp;LNS;1;3977;3977;3977;11.039;11.039;;;
../Instances/TSP/eil51.tsp;GRASP;1;426;426;426;0.025;10.007;;;
../Instances/TSP/berlin52.tsp;GRASP;1;7542;7542;7542;0.01;10.01;;;
../Instances/TSP/st70.tsp;GRASP;1;675;675;675;0.313;10.003;;;
../Instances/TSP/eil76.tsp;GRASP;1;538;538;538;3.677;10.024;;;
../Instances/TSP/pr76.tsp;GRASP;1;108159;108159;108159;0.077;10.006;;;
../Instances/TSP/rat99.tsp;GRASP;1;1211;1211;1211;0.235;10.041;;;
../Instances/TSP/kroA100.tsp;GRASP;1;21282;21282;21282;0.25;10.013;;;
../Instances/TSP/kroB100.tsp;GRASP;1;22199;22199;22199;0.662;10.045;;;
../Instances/TSP/kroC100.tsp;GRASP;1;20749;20749;20749;0.873;10.095;;;
../Instances/TSP/kroD100.tsp;GRASP;1;21294;21294;21294;1.004;10.021;;;
../Instances/TSP/kroE100.tsp;GRASP;1;22106;22106;22106;1.4;10.057;;;
../Instances/TSP/rd100.tsp;GRASP;1;7910;7910;7910;7.445;10.058;;;
../Instances/TSP/eil101.tsp;GRASP;1;630;630;630;0.638;10.078;;;
../Instances/TSP/lin105.tsp;GRASP;1;14379;14379;14379;1.527;10.057;;;
../Instances/TSP/pr107.tsp;GRASP;1;44303;44303;44303;0.589;10.024;;;
../Instances/TSP/pr124.tsp;GRASP;1;59030;59030;59030;2.173;10.17;;;
../Instances/TSP/ch130.tsp;GRASP;1;6110;6110;6110;1.681;10.037;;;
../Instances/TSP/pr136.tsp;GRASP;1;96772;96772;96772;6.048;10.058;;;
../Instances/TSP/pr144.tsp;GRASP;1;58537;58537;58537;3.936;10.193;;;
../Instances/TSP/ch150.tsp;GRASP;1;6554;6554;6554;0.368;10.378;;;
../Instances/TSP/kroA150.tsp;GRASP;1;26718;26718;26718;5.282;10.332;;;
../Instances/TSP/kroB150.tsp;GRASP;1;26130;26130;26130;5.509;10.346;;;
../Instances/TSP/pr152.tsp;GRASP;1;73818;73818;73818;0.364;10.131;;;
../Instances/TSP/u159.tsp;GRASP;1;42396;42396;42396;1.282;10.281;;;
../Instances/TSP/rat195.tsp;GRASP;1;2335;2335;2335;7.111;10.822;;;
../Instances/TSP/d198.tsp;GRASP;1;15816;15816;15816;8.484;10.939;;;
../Instances/TSP/kroA200.tsp;GRASP;1;29449;29449;29449;6.539;10.089;;;
../Instances/TSP/kroB200.tsp;GRASP;1;29445;29445;29445;11.259;11.259;;;
../Instances/TSP/ts225.tsp;GRASP;1;126962;126962;126962;3.097;10.478;;;
../Instances/TSP/tsp225.tsp;GRASP;1;4000;4000;4000;10.657;10.657;;;
